user,item,rating
764163,ML0103EN,4.0
1032726,ML0122ENv1,2.0
930206,CP0101EN,1.0
741496,CNSC02EN,2.0
728293,DV0101EN,4.0
435653,BD0101EN,2.0
689517,DS0201EN,3.0
1173486,ML0101ENv3,3.0
1061755,CC0271EN,1.0
1111138,PA0109EN,1.0
1960297,BD0101EN,4.0
1026589,DW0101EN,1.0
726981,CO0101EN,1.0
1568631,SC0105EN,1.0
1134675,DV0151EN,1.0
1132380,BD0131EN,4.0
1052319,BC0201EN,2.0
1563134,DX0107EN,1.0
23,ML0122EN,2.0
1164850,LB0105ENv1,4.0
1047293,BC0201EN,2.0
1503036,LB0107ENv1,1.0
233627,HCC105EN,1.0
1480042,DS0101EN,1.0
1327266,DS0105EN,3.0
210831,CB0103EN,2.0
204745,TMP0106,4.0
267344,EE0101EN,4.0
933630,OS0101EN,1.0
706589,ML0151EN,2.0
928027,CC0201EN,4.0
583245,DS0101EN,3.0
1438346,CC0101EN,3.0
465159,BD0151EN,1.0
181700,ML0101EN,3.0
1753272,BC0101EN,3.0
1253008,ML0151EN,4.0
175261,DB0111EN,1.0
262347,CC0210EN,1.0
1121764,DS0101EN,1.0
685516,ST0101EN,2.0
1612541,BC0101EN,3.0
553768,ML0101EN,2.0
1552008,DAI101EN,2.0
283094,CB0103EN,2.0
1182791,DA0101EN,1.0
1336683,TMP0106,4.0
1577787,CNSC02EN,2.0
1194184,ML0109EN,3.0
968017,DS0103EN,3.0
1609232,ST0301EN,1.0
435090,BD0101EN,2.0
1642040,CC0210EN,4.0
1922100,BD0111EN,3.0
1484703,DA0101EN,3.0
435719,RP0151EN,1.0
1187185,DX0107EN,4.0
716933,BD0145EN,1.0
731000,TMP107,1.0
1262609,DA0201EN,4.0
761531,CC0103EN,4.0
1253814,RP0101EN,3.0
1500139,DS0103EN,3.0
711807,DS0101EN,3.0
1050272,BD0151EN,1.0
1904824,CNSC02EN,2.0
704263,RP0101EN,3.0
461002,ST0101EN,2.0
938632,BD0211EN,3.0
452641,DS0101EN,2.0
563978,CO0301EN,4.0
98282,DA0151EN,1.0
1216783,ML0115EN,3.0
1806006,DX0106EN,4.0
79064,ST0101EN,2.0
641326,ST0101EN,2.0
1562406,CNSC02EN,2.0
976005,TA0105EN,4.0
1547745,LB0105ENv1,4.0
1063755,BD0111EN,3.0
510162,DS0101EN,2.0
1489738,DS0105EN,3.0
1986311,BD0141EN,1.0
549953,BD0131EN,3.0
1654234,PY0101EN,2.0
1586440,ST0101EN,4.0
1688004,ML0115EN,1.0
622630,RAVSCTEST1,4.0
1633955,DX0108EN,4.0
534792,GPXX0QR3EN,1.0
714978,RAVSCTEST1,1.0
1780485,DAI101EN,2.0
1170881,LB0101ENv1,4.0
500383,DB0115EN,1.0
1798561,CNSC02EN,2.0
1645159,DX0106EN,1.0
1502914,ML0101ENv3,3.0
1047916,DX0107EN,4.0
1077843,CC0101EN,1.0
