user,item,rating
731195,ML0101EN,3.0
1219826,CO0201EN,3.0
1081667,DS0101EN,3.0
1256953,ST0101EN,3.0
435770,BD0101EN,2.0
1391076,CNSC02EN,2.0
619294,ML0122EN,2.0
475142,BD0115EN,3.0
715182,ML0115EN,3.0
719199,CB0103EN,2.0
1272241,DS0105EN,3.0
715623,ML0101EN,3.0
584748,RP0105EN,3.0
1905859,CNSC02EN,2.0
435578,BD0101EN,2.0
1618301,CNSC02EN,2.0
279411,TMP0105EN,2.0
509784,DS0101EN,2.0
216458,PA0101EN,2.0
1289931,PY0101EN,3.0
114,DS0103EN,2.0
715451,CB0103EN,2.0
418752,BD0111EN,2.0
1722740,DS0110EN,3.0
371651,DS0101EN,2.0
1656151,DS0105EN,3.0
1046164,PY0101EN,3.0
1885557,CO0301EN,3.0
1824431,DS0132EN,2.0
211325,DS0103EN,2.0
1576669,DS0103EN,3.0
1209772,ST0101EN,3.0
580919,ML0122ENv1,2.0
696612,CB0103EN,2.0
1082953,PY0101EN,3.0
435670,BD0101EN,2.0
1001163,DS0301EN,3.0
435453,BD0101EN,2.0
1768094,TA0105EN,3.0
1084285,CL0101EN,2.0
1542763,PY0101EN,3.0
495259,DS0101EN,2.0
1834728,CC0101EN,3.0
910994,DAI101EN,2.0
1237310,CNSC02EN,2.0
1122842,CNSC02EN,2.0
929328,ML0111EN,3.0
913254,BC0201EN,2.0
1236964,DS0110EN,2.0
435669,DB0151EN,2.0
1103369,CL0101EN,2.0
1803606,ST0101EN,3.0
1093749,BD0101EN,3.0
1689850,RP0105EN,3.0
679010,DAI101EN,2.0
1166632,EE0101EN,3.0
476964,ML0101EN,2.0
983028,BD0111EN,3.0
628634,CB0103EN,2.0
434785,BD0101EN,2.0
1472260,BC0101EN,3.0
2077919,DS0132EN,2.0
1819354,DA0101EN,3.0
1304909,CO0201EN,3.0
885882,PY0101EN,3.0
688644,CB0103EN,2.0
686988,ST0101EN,2.0
507528,DS0101EN,2.0
1069459,BC0101EN,3.0
754346,BC0201EN,2.0
1106457,CL0101EN,2.0
787258,CNSC02EN,2.0
1874894,ST0101EN,3.0
630234,CB0103EN,2.0
512021,DS0101EN,2.0
1680370,CNSC02EN,2.0
1105840,CL0101EN,2.0
1067028,CL0101EN,2.0
434845,DS0103EN,2.0
986124,DS0101EN,3.0
1255885,DAI101EN,2.0
1181502,DV0151EN,3.0
619891,BD0223EN,3.0
741051,ML0115EN,3.0
481695,TMP0105EN,2.0
727651,DAI101EN,2.0
510802,DS0101EN,2.0
1772362,CNSC02EN,2.0
1228864,CC0101EN,3.0
510683,DS0101EN,2.0
1212599,BC0101EN,3.0
1922079,DV0151EN,3.0
1396267,BC0101EN,3.0
678795,DAI101EN,2.0
592712,DJ0101EN,3.0
964414,ML0122ENv1,2.0
916880,BD0145EN,3.0
30,PA0101EN,2.0
1771714,DS0101EN,3.0
563561,BD0141EN,3.0
976899,SC0103EN,3.0
1263521,CC0103EN,3.0
690718,BD0111EN,3.0
1075319,BC0201EN,3.0
1794580,DAI101EN,2.0
276340,TMP0106,2.0
1063148,CO0101EN,3.0
718140,CB0103EN,2.0
512272,DS0101EN,2.0
569254,CNSC02EN,2.0
1014569,SC0105EN,3.0
1154216,PA0101EN,3.0
775880,BD0101EN,3.0
722094,CB0103EN,2.0
83795,DS0101EN,3.0
116,DX0107EN,2.0
765972,PY0101EN,3.0
256932,BC0201EN,2.0
1590932,BC0101EN,3.0
491131,TMP0105EN,2.0
1757525,PY0101EN,3.0
2032566,CC0201EN,3.0
1450767,BD0212EN,3.0
1578133,CNSC02EN,2.0
473193,BD0101EN,3.0
332674,BD0115EN,3.0
1343139,BD0101EN,3.0
1729230,CNSC02EN,2.0
678952,BC0201EN,2.0
918080,BD0221EN,3.0
555342,TA0106EN,3.0
1515593,BD0212EN,3.0
632484,PA0101EN,3.0
981848,DS0105EN,3.0
511833,DS0101EN,2.0
909096,ML0122ENv1,2.0
1681092,CNSC02EN,2.0
1743854,DA0101EN,3.0
1831486,ML0115EN,3.0
1576669,CB0105ENv1,3.0
584744,PY0101EN,3.0
1514766,DS0132EN,2.0
703069,CB0103EN,2.0
511022,DS0103EN,2.0
2030914,CNSC02EN,2.0
704415,ML0122EN,2.0
1415208,ML0103EN,3.0
1278175,DS0110EN,2.0
600575,ST0101EN,2.0
435567,BD0212EN,2.0
140424,DW0101EN,3.0
306633,BD0151EN,3.0
452452,CB0103EN,2.0
1234403,DS0201EN,3.0
61658,CB0103EN,2.0
909851,BC0201EN,2.0
887490,ML0122ENv1,2.0
1697782,CNSC02EN,2.0
1807351,DAI101EN,2.0
910463,CL0101EN,2.0
32936,BD0137EN,3.0
1185961,CC0103EN,3.0
971801,ML0120ENv2,3.0
691336,CB0103EN,2.0
5,DB0101EN,2.0
1672997,DS0301EN,3.0
1135807,PY0101EN,3.0
1355457,BD0101EN,3.0
368856,CB0103EN,2.0
748678,ML0122ENv1,2.0
1894109,BD0115EN,3.0
137278,BD0111EN,3.0
719195,CB0103EN,2.0
1069509,BC0201EN,3.0
1914425,BD0101EN,3.0
1467813,DAI101EN,2.0
322336,BC0201EN,2.0
452641,DS0101EN,2.0
876477,BD0141EN,3.0
1949956,DA0101EN,3.0
1839178,CNSC02EN,2.0
372836,ST0101EN,2.0
1049317,CB0103EN,3.0
911622,ML0122ENv1,2.0
899838,ML0101ENv3,3.0
1928815,RP0103EN,3.0
1502111,BD0101EN,3.0
923071,WA0101EN,3.0
1092473,DS0301EN,3.0
1251843,DS0101EN,3.0
932632,WA0101EN,3.0
536051,BD0212EN,3.0
435401,BD0101EN,2.0
1029985,ML0115EN,3.0
1550670,BD0133EN,3.0
1361196,AI0111EN,3.0
1462430,CC0201EN,3.0
1001055,BC0201EN,2.0
193528,ML0122ENv1,2.0
23,TMP0105EN,2.0
925226,DS0103EN,3.0
898745,ML0122EN,2.0
509702,DS0101EN,2.0
1751482,CNSC02EN,2.0
1044083,DV0101EN,3.0
554306,ML0101EN,2.0
1434211,CNSC02EN,2.0
1416614,DS0101EN,3.0
1100113,ML0122ENv1,2.0
338624,ML0122EN,2.0
1876119,CNSC02EN,2.0
45,BD0111EN,2.0
1702288,DA0101EN,3.0
1286283,CNSC02EN,2.0
312305,CB0103EN,2.0
150426,ML0122ENv1,2.0
1009131,BD0111EN,3.0
369744,ST0101EN,2.0
1999657,CNSC02EN,2.0
2058654,CNSC02EN,2.0
