,CC0101EN,CL0101EN,ML0120ENv3,BD0211EN,DS0101EN,ST0101EN,DS0301EN,DS0105EN,BD0141EN,CO0201EN,CB0103EN,DV0101EN,DS0103EN,BD0123EN,BC0101EN,TA0105EN,ML0151EN,BD0101EN,BD0111EN,BC0201EN,ML0122ENv1,BD0131EN,BD0121EN,PY0101EN,BD0145EN,ML0101EN,CO0301EN,ML0101ENv3,DB0151EN,CO0101EN,RP0101EN,SC0101EN,PA0101EN,LB0101ENv1,ML0103EN,CC0150EN,DS0110EN,DA0101EN,ML0122EN,ML0115EN,ML0111EN,ML0109EN,BD0223EN,BC0202EN,CC0103EN,COM001EN,DB0101EN,CNSC02EN,DV0151EN,RP0105EN,LB0109ENv1,SC0105EN,RP0103,WA0101EN,RAVSCTEST1,RP0151EN,CO0401EN,SC0103EN,LB0111EN,DS0132EN,CB0105ENv1,CC0201EN,ML0120ENv2,BD0143EN,LB0105ENv1,ML0201EN,BD0115EN,BD0221EN,ML0120EN,BD0137EN,DAI101EN,RP0103EN,BD0212EN,BD0135EN,CC0250EN,TA0105,DS0321EN,BD0133EN,LB0107ENv1,ML0122ENv3,SECM03EN,TMP0105EN,BD0151EN,PA0109EN,DJ0101EN,CP0101EN,CB0101EN,EE0101EN,CC0210EN,AI0111EN,DW0101EN,HCC105EN,LB0103ENv1,SW0101EN,DS0201EN,HCC104EN,SW0201EN,TA0106EN,DE0205EN,IT0101EN,OS0101EN,BD0153EN,WA0103EN,DP0101EN,TMP0106,CB0201EN,GPXX0T0FEN,DB0111EN,PHPM002EN,TMP107,DA0201EN,ST0201EN,DX0106EN,CC0271EN,DX0107EN,BENTEST4,PA0107EN,PA0103EN,DA0151EN,ST0301EN,TMP0101EN,DB0113EN,DX0108EN,DS0107,DB0115EN,GPXX0QR3EN
CC0101EN,1.0000000000000002,0.2567109138992651,0.11952181943689258,0.04256663547578153,0.33705517788974965,0.28699607227544327,0.17427922168313034,0.16418000478875,0.14094656497925087,0.16139641219543746,0.15779091258235087,0.2737236957700202,0.17427922168313034,0.14915837138835125,0.28699607227544327,0.14595128912803612,0.16434065581735843,0.3801631178123413,0.16876649641524455,0.1561833838568698,0.12664774025862574,0.14094656497925087,0.15543438057681574,0.2567109138992651,0.14094656497925087,0.3634771039238904,0.15779091258235087,0.2452891779441356,0.14764453149001816,0.29804496791812374,0.30759502254594456,0.28699607227544327,0.29804496791812374,0.24643411182246622,0.1847838539005827,0.6320957879221548,0.1407183083281291,0.28699607227544327,0.15195615689824438,0.15195615689824438,0.16434065581735843,0.15195615689824438,0.03848994787243538,0.033364931387305674,0.7743054003849088,0.03313666920930426,0.30759502254594456,0.04078687326064466,0.13600059153184074,0.15373803611325365,0.11991164549019716,0.14595128912803612,0.11851127281441196,0.2737236957700202,0.0,0.14764453149001816,0.12585729956755676,0.15290916638764757,0.1503672857133679,0.13376101593388148,0.125612935053535,0.7946439266699927,0.11254608236469883,0.14094656497925087,0.12942216240571902,0.19064964205202042,0.15543438057681574,0.03982515087912446,0.15195615689824438,0.14094656497925087,0.03313666920930426,0.16193532464926397,0.03670005461932063,0.14094656497925087,0.4928623861858389,0.10640546978318496,0.03721110823548112,0.14094656497925087,0.12222294879671988,0.11952181943689258,0.04005383295593197,0.15017830622035488,0.16876649641524455,0.1358507081291793,0.2567109138992651,0.2567109138992651,0.29804496791812374,0.2567109138992651,0.4928623861858389,0.12968948710744554,0.2567109138992651,0.034436353394029943,0.1341996670297539,0.2737236957700202,0.17917441821856728,0.034436353394029943,0.14981988176806624,0.13269778078753294,0.03509440648805688,0.2567109138992651,0.2567109138992651,0.14094656497925087,0.14692256751338773,0.2567109138992651,0.09882399456324958,0.16139641219543746,0.034436353394029943,0.14764453149001816,0.03313666920930426,0.0,0.1561833838568698,0.1561833838568698,0.13269778078753294,0.47264547539247664,0.1358507081291793,0.0,0.13923961528924322,0.15779091258235087,0.14070718257864803,0.15290916638764757,0.29804496791812374,0.1279304364965257,0.12333790710195658,0.10959349164534236,0.13846867674828253,0.034436353394029943
CL0101EN,0.2567109138992651,1.0,0.09479324990625355,0.033759774853951666,0.2673198572480705,0.22761777330275387,0.13822157236486132,0.13021184162752156,0.1117853043105708,0.12800416281558386,0.12514462614294578,0.2170913965386121,0.13822157236486132,0.11829812197672615,0.22761777330275387,0.11575457175632074,0.13033925462352783,0.3015089429001976,0.13384940712804333,0.12386968845438034,0.10044484721667923,0.1117853043105708,0.12327565085152863,0.20359848879111442,0.1117853043105708,0.28827519619253233,0.12514462614294578,0.19453986271046392,0.11709748928491448,0.23638069818775975,0.2439548860575435,0.22761777330275387,0.23638069818775975,0.1954479145102613,0.14655283967365598,0.10926039724050948,0.1116042730154107,0.22761777330275387,0.12051705724957334,0.12051705724957334,0.13033925462352783,0.12051705724957334,0.03052653703516361,0.02646186523935749,0.13384192277191037,0.026280829560806275,0.2439548860575435,0.03234823807156311,0.10786263228935383,0.12193027303332671,0.0951024225633045,0.11575457175632074,0.09399178119553579,0.2170913965386121,0.0,0.11709748928491448,0.09981794543156933,0.12127289302180008,0.11925691693371776,0.1060864156090732,0.09962413892364448,0.13735752199540732,0.08926076394946203,0.1117853043105708,0.10264525290974785,0.15120502054536675,0.12327565085152863,0.031585492068520404,0.12051705724957334,0.1117853043105708,0.026280829560806275,0.12843157651421935,0.029106965284604637,0.1117853043105708,0.02854634009062124,0.08439061868427661,0.029512284023730545,0.1117853043105708,0.09693552678625388,0.09479324990625355,0.031766860770553434,0.1191070365152909,0.13384940712804333,0.10774375914207224,0.20359848879111442,0.20359848879111442,0.23638069818775975,0.20359848879111442,0.02854634009062124,0.10285726923761389,0.20359848879111442,0.027311614469389074,0.10643431160955735,0.2170913965386121,0.14210397300693747,0.027311614469389074,0.11882276859803209,0.10524315941190542,0.02783351910310003,0.20359848879111442,0.20359848879111442,0.1117853043105708,0.11652489666557124,0.20359848879111442,0.0783777192942965,0.12800416281558386,0.027311614469389074,0.11709748928491448,0.026280829560806275,0.0,0.12386968845438034,0.12386968845438034,0.10524315941190542,0.02737538684430988,0.10774375914207224,0.0,0.11043151544336122,0.12514462614294578,0.11159544913742823,0.12127289302180008,0.23638069818775975,0.10146215891429158,0.09781980483490892,0.08691905202397865,0.10982008089425586,0.027311614469389074
ML0120ENv3,0.11952181943689258,0.09479324990625355,1.0,0.02699294816274416,0.12446122848690952,0.10597636846867686,0.07087929173247248,0.0667719441461504,0.05732291320429526,0.06563985812017266,0.0641735028286513,0.1010754015256736,0.07087929173247248,0.06066265167971417,0.10597636846867686,0.05935833257073736,0.32633386509900286,0.14037929624630946,0.06863726850830479,0.06351972152069443,0.25148644064426634,0.05732291320429526,0.06321510217776406,0.09479324990625355,0.05732291320429526,0.46842498472738187,0.0641735028286513,0.7718199269201826,0.06004697358135029,0.11005629132795865,0.1135827511157518,0.10597636846867686,0.11005629132795865,0.09099843085198703,0.36692825005081486,0.056028154204275704,0.057230081312986084,0.10597636846867686,0.30174176779058964,0.30174176779058964,0.32633386509900286,0.30174176779058964,0.02440778220065084,0.02115783531689903,0.0686334305700387,0.021013086523168016,0.1135827511157518,0.025864340541347036,0.055311387725271506,0.06252519954364402,0.04876801962240576,0.05935833257073736,0.03757601003725464,0.1010754015256736,0.0,0.06004697358135029,0.05118611482514747,0.06218809854834427,0.06115431666590636,0.05440055319989535,0.05108673187225647,0.07043621126999289,0.5825604205625757,0.05732291320429526,0.052635943156098805,0.3785760392712618,0.06321510217776406,0.02525447974071844,0.7865546344195122,0.05732291320429526,0.021013086523168016,0.06585903360571896,0.02327275014424928,0.05732291320429526,0.022824496953421175,0.0337376597655234,0.023596826586167075,0.05732291320429526,0.04970802577898082,0.6186681929268123,0.02539949480653274,0.06107745877953664,0.06863726850830479,0.05525043020365478,0.09479324990625355,0.09479324990625355,0.11005629132795865,0.09479324990625355,0.022824496953421175,0.05274466400840685,0.09479324990625355,0.021837260372806637,0.054578952430123936,0.1010754015256736,0.072870166261129,0.021837260372806637,0.060931687694076954,0.0539681358790556,0.022254554172442473,0.09479324990625355,0.09479324990625355,0.05732291320429526,0.059753351112614664,0.09479324990625355,0.03133382439867512,0.06563985812017266,0.021837260372806637,0.06004697358135029,0.021013086523168016,0.0,0.06351972152069443,0.06351972152069443,0.0539681358790556,0.021888250179992835,0.05525043020365478,0.0,0.056628697428701066,0.0641735028286513,0.057225556474995665,0.06218809854834427,0.11005629132795865,0.05202925880852442,0.05016147888844043,0.03474847619375474,0.05631515702368417,0.021837260372806637
BD0211EN,0.04256663547578153,0.033759774853951666,0.02699294816274416,1.0,0.04432576218158659,0.03774254330218852,0.03935942423650944,0.03707860522456113,0.2715373591322784,0.3013097771892592,0.035635685132256276,0.035997107411699716,0.03935942423650944,0.2873576256734381,0.03774254330218852,0.03296181065750006,0.0371148868416579,0.4264785159742298,0.84385578275552,0.29157761285048145,0.028602274495451323,0.2715373591322784,0.2994485266554978,0.033759774853951666,0.2715373591322784,0.047800481119599406,0.035635685132256276,0.032257714702205384,0.0333442145024154,0.03919557162738109,0.0404514889905388,0.03774254330218852,0.03919557162738109,0.032408283719190266,0.04173180272146129,0.031112555396830457,0.03177998812389057,0.03774254330218852,0.03431795705159798,0.03431795705159798,0.54223414942374,0.03431795705159798,0.4857419987763415,0.4140260865212647,0.03811229266806525,0.026472610961370213,0.0404514889905388,0.2693547020877115,0.030714533418392566,0.03472037874756633,0.02708098693674302,0.03296181065750006,0.0,0.035997107411699716,0.0,0.0333442145024154,0.028423760440860535,0.034533185834654166,0.4961296817542121,0.030208745033417556,0.028368572871838568,0.32332670623635595,0.025417539504527752,0.2715373591322784,0.029228853253630286,0.35592241727372304,0.2994485266554978,0.5025922210575154,0.03431795705159798,0.2715373591322784,0.026472610961370213,0.03657166402392889,0.46315359909220255,0.2715373591322784,0.23769736434464891,0.0,0.029727646600121685,0.2715373591322784,0.027602974391713855,0.02699294816274416,0.03199867586740951,0.033916445165187076,0.32513320742047785,0.03068068357459369,0.033759774853951666,0.033759774853951666,0.03919557162738109,0.033759774853951666,0.23769736434464891,0.4279042722639488,0.033759774853951666,0.02751091790699491,0.030307810512408745,0.035997107411699716,0.3344994061335016,0.02751091790699491,0.27969763751249815,0.029968622758460493,0.23176190398631707,0.033759774853951666,0.033759774853951666,0.2715373591322784,0.033181165309486706,0.033759774853951666,0.0,0.3013097771892592,0.02751091790699491,0.4871460841590515,0.026472610961370213,0.0,0.29157761285048145,0.29157761285048145,0.029968622758460493,0.2279471652110491,0.03068068357459369,0.0,0.031446038350239965,0.035635685132256276,0.031777475471552866,0.034533185834654166,0.03919557162738109,0.02889196012123333,0.02785477788565888,0.0,0.03127192868414841,0.02751091790699491
DS0101EN,0.33705517788974965,0.2673198572480705,0.12446122848690952,0.04432576218158659,1.0000000000000002,0.29885659283474686,0.7577802304360194,0.713868013985103,0.14677138208718404,0.1680663483024537,0.16431184629379936,0.28503571650782694,0.7577802304360194,0.15532255306657958,0.29885659283474686,0.15198293357402198,0.171132266976345,0.39587389893541813,0.1757410117268463,0.16263788415915326,0.1318816381138031,0.14677138208718404,0.16185792725408393,0.2673198572480705,0.14677138208718404,0.3784983118092301,0.16431184629379936,0.25542610182227476,0.15374615158301183,0.3103620997923092,0.3203068239999528,0.29885659283474686,0.3103620997923092,0.2566183517202823,0.19242030927378306,0.14345624059698409,0.6118546495768422,0.29885659283474686,0.1582359610388204,0.1582359610388204,0.171132266976345,0.1582359610388204,0.04008059966933318,0.03474378459439451,0.17573118494952128,0.03450608915748599,0.3203068239999528,0.04247244876355018,0.14162100925795074,0.16009147894475761,0.12486716465587913,0.15198293357402198,0.12340891958908817,0.28503571650782694,0.0,0.15374615158301183,0.13105853133781875,0.15922835499976937,0.15658142749416007,0.5816037763929505,0.13080406811296952,0.1803470811093932,0.11719720916644288,0.14677138208718404,0.13477071719907288,0.1985285094569084,0.16185792725408393,0.0414709818378349,0.1582359610388204,0.14677138208718404,0.03450608915748599,0.16862753207932515,0.03821673653377645,0.14677138208718404,0.037480649307809505,0.11080282704309408,0.4740195879435246,0.14677138208718404,0.12727398585631744,0.12446122848690952,0.04170911452646443,0.15638463815502476,0.1757410117268463,0.1414649317106633,0.2673198572480705,0.2673198572480705,0.3103620997923092,0.2673198572480705,0.037480649307809505,0.13504908947401428,0.2673198572480705,0.03585948463822811,0.13974565899138075,0.28503571650782694,0.7790649431104743,0.03585948463822811,0.15601140130286031,0.13818170516575226,0.03654473271157633,0.2673198572480705,0.2673198572480705,0.14677138208718404,0.1529943514190078,0.2673198572480705,0.10290803658506863,0.1680663483024537,0.03585948463822811,0.15374615158301183,0.03450608915748599,0.0,0.16263788415915326,0.16263788415915326,0.13818170516575226,0.035943216213356305,0.1414649317106633,0.0,0.14499389027535736,0.16431184629379936,0.14652210686867126,0.15922835499976937,0.3103620997923092,0.13321734359667403,0.12843502139807236,0.6193440232448933,0.14419109160355054,0.03585948463822811
ST0101EN,0.28699607227544327,0.22761777330275387,0.10597636846867686,0.03774254330218852,0.29885659283474686,1.0,0.15452809453990538,0.14557342554401512,0.12497303986007444,0.14310529850473988,0.1399084114651154,0.24270249045905795,0.15452809453990538,0.1322541992827166,0.25447070374112213,0.12941057681336515,0.145715869933524,0.33707909435526856,0.14964012841783245,0.1384830645507345,0.11229470610979136,0.12497303986007444,0.13781894608294992,0.22761777330275387,0.12497303986007444,0.3222841124478052,0.1399084114651154,0.2174904668089647,0.13091192340686247,0.26426742404974257,0.27273516753710064,0.25447070374112213,0.26426742404974257,0.21850564491731253,0.16384223299386738,0.12215025994409295,0.12477065161767088,0.25447070374112213,0.13473491075020982,0.13473491075020982,0.145715869933524,0.13473491075020982,0.034127868177434316,0.02958367166172681,0.149631761103872,0.02938127851880689,0.27273516753710064,0.03616448218174548,0.12058759536995117,0.1363148489501651,0.10632201539455476,0.12941057681336515,0.10508034745993268,0.24270249045905795,0.0,0.13091192340686247,0.11159384634774944,0.13557991532995073,0.13332610691061772,0.11860183168344618,0.1113771757523665,0.1535621088772204,0.0997911941985199,0.12497303986007444,0.11475470199282975,0.16904324925537256,0.13781894608294992,0.0353117521450983,0.13473491075020982,0.12497303986007444,0.02938127851880689,0.14358313581551835,0.03254082417320678,0.12497303986007444,0.031914059902658345,0.09434649945886604,0.032993959898454585,0.12497303986007444,0.10837137786250359,0.10597636846867686,0.03551451759954097,0.13315854453180748,0.14964012841783245,0.1204546983074514,0.22761777330275387,0.22761777330275387,0.26426742404974257,0.22761777330275387,0.031914059902658345,0.11499173068955161,0.22761777330275387,0.030533669025430036,0.11899077029218202,0.24270249045905795,0.1588685166838301,0.030533669025430036,0.13284074045216007,0.11765909336027522,0.031117144724621286,0.22761777330275387,0.22761777330275387,0.12497303986007444,0.13027177986847788,0.22761777330275387,0.0876242355640444,0.14310529850473988,0.030533669025430036,0.13091192340686247,0.02938127851880689,0.0,0.1384830645507345,0.8352242853878644,0.11765909336027522,0.03060496486885152,0.1204546983074514,0.0,0.12345953939498773,0.1399084114651154,0.12476078675339713,0.8177147022401351,0.26426742404974257,0.1134320339197386,0.10935997754028347,0.0971732216518676,0.12277597159733811,0.030533669025430036
DS0301EN,0.17427922168313034,0.13822157236486132,0.07087929173247248,0.03935942423650944,0.7577802304360194,0.15452809453990538,1.0,0.5794378681214714,0.08358467721560267,0.09571192472195358,0.442076253693581,0.14738181189172045,1.0,0.08845447441969002,0.15452809453990538,0.0865525980910843,0.09745793146442788,0.20469228635822428,0.100082560577145,0.0926204744900227,0.07510513286479231,0.08358467721560267,0.09217629766736679,0.13822157236486132,0.08358467721560267,0.195707989426195,0.442076253693581,0.13207173526259547,0.08755673122689281,0.16047718219430032,0.1656192447064758,0.15452809453990538,0.16047718219430032,0.13268820519958754,0.517701257560054,0.08169674083834748,0.4966348776041585,0.15452809453990538,0.09011362800599652,0.09011362800599652,0.09745793146442788,0.09011362800599652,0.03558989735080779,0.0308510286147036,0.4727996529277015,0.030639965001131916,0.1656192447064758,0.037713759379921524,0.08065159690832752,0.09117032491127881,0.07111046788664474,0.0865525980910843,0.4196949033801808,0.14738181189172045,0.0,0.08755673122689281,0.07463638266835579,0.42839926790321736,0.08917138946939493,0.4720806167000511,0.07449146867892678,0.1027056660974307,0.06674251314829015,0.08358467721560267,0.07675043141931011,0.11305978825758689,0.09217629766736679,0.03682449860586913,0.09011362800599652,0.08358467721560267,0.030639965001131916,0.4536874810470398,0.03393486478598383,0.08358467721560267,0.03328125009385015,0.049194139723167406,0.7116338500378222,0.08358467721560267,0.07248112591475275,0.07087929173247248,0.34996995853266244,0.08905932011938142,0.100082560577145,0.08056271247305748,0.13822157236486132,0.13822157236486132,0.16047718219430032,0.13822157236486132,0.03328125009385015,0.07690896134807325,0.13822157236486132,0.03184172362330925,0.3759816397314843,0.14738181189172045,0.632357411903216,0.03184172362330925,0.08884676586412066,0.07869295130381895,0.03245019527272326,0.13822157236486132,0.13822157236486132,0.08358467721560267,0.4116268621962805,0.13822157236486132,0.045689017739897225,0.09571192472195358,0.03184172362330925,0.08755673122689281,0.030639965001131916,0.0,0.0926204744900227,0.0926204744900227,0.07869295130381895,0.031916073762489276,0.08056271247305748,0.0,0.08257241530710162,0.442076253693581,0.08344271773834666,0.42839926790321736,0.16047718219430032,0.07586580234990051,0.07314232280213902,0.4992835585117189,0.08211523035116636,0.03184172362330925
DS0105EN,0.16418000478875,0.13021184162752156,0.0667719441461504,0.03707860522456113,0.713868013985103,0.14557342554401512,0.5794378681214714,1.0,0.07874107178694215,0.09016556367093234,0.08815131874127663,0.13884125914993986,0.5794378681214714,0.08332867161993299,0.14557342554401512,0.4852540825302286,0.09181039196757125,0.19283067843632928,0.09428292779905473,0.08725325829694222,0.07075290418625324,0.07874107178694215,0.08683482084831001,0.13021184162752156,0.07874107178694215,0.1843670079018923,0.08815131874127663,0.1244183782694179,0.08248295128523643,0.15117777258065213,0.15602186035956112,0.14557342554401512,0.15117777258065213,0.12499912470740407,0.10323116925336612,0.07696253846285964,0.4678556387608862,0.14557342554401512,0.0848916797692369,0.0848916797692369,0.09181039196757125,0.0848916797692369,0.03352751671172021,0.02906325824032635,0.09427765585184145,0.02886442544343715,0.15602186035956112,0.035528304153521664,0.07597795904037635,0.5111432047625921,0.06698972399237932,0.4852540825302286,0.051615927007502865,0.13884125914993986,0.0,0.08248295128523643,0.07031131735362667,0.08542408712964175,0.08400404252850685,0.4447242600808149,0.4176337867071534,0.09675402832798019,0.06287488561443447,0.07874107178694215,0.4302985814820153,0.10650814479361675,0.08683482084831001,0.03469057469425301,0.0848916797692369,0.07874107178694215,0.02886442544343715,0.09046663198160651,0.03196839077694656,0.07874107178694215,0.03135265206611152,0.4566685535490699,0.3965185098919369,0.07874107178694215,0.06828095446406264,0.0667719441461504,0.03488977325324419,0.499307930997256,0.09428292779905473,0.07589422532348603,0.13021184162752156,0.13021184162752156,0.15117777258065213,0.13021184162752156,0.03135265206611152,0.07245220354140874,0.13021184162752156,0.029996543973910796,0.07497185629837225,0.13884125914993986,0.5957132577929171,0.029996543973910796,0.08369823036941096,0.07413281398164784,0.3739631101047833,0.13021184162752156,0.13021184162752156,0.07874107178694215,0.0820796195877253,0.13021184162752156,0.04304140837264082,0.09016556367093234,0.029996543973910796,0.08248295128523643,0.02886442544343715,0.0,0.08725325829694222,0.08725325829694222,0.07413281398164784,0.030066585635152635,0.07589422532348603,0.0,0.07778746892264121,0.08815131874127663,0.07860733864634965,0.08542408712964175,0.15117777258065213,0.07146949402697897,0.06890383599342106,0.470350832622136,0.07735677714234815,0.029996543973910796
BD0141EN,0.14094656497925087,0.1117853043105708,0.05732291320429526,0.2715373591322784,0.14677138208718404,0.12497303986007444,0.08358467721560267,0.07874107178694215,1.0000000000000002,0.07740605498938727,0.07567684987560291,0.1191935557545978,0.08358467721560267,0.30898661905808844,0.12497303986007444,0.06999854184079622,0.07881812035441282,0.5179514434418628,0.3496055142748621,0.0749058757552431,0.06074051965213356,0.29197558390739475,0.3219875846912691,0.1117853043105708,0.29197558390739475,0.15827686503426597,0.07567684987560291,0.10681168550291792,0.0708106243995041,0.12978430457395973,0.13394289583343552,0.12497303986007444,0.12978430457395973,0.10731024935460867,0.08862272067646215,0.06607141620187626,0.0674887933646931,0.12497303986007444,0.07287848891336118,0.07287848891336118,0.07881812035441282,0.07287848891336118,0.24553171002595592,0.024950458622228028,0.08093623680734327,0.02477976305084703,0.13394289583343552,0.030500622998642167,0.06522616657646158,0.07373308189114335,0.05750987459028846,0.06999854184079622,0.04431165426805846,0.1191935557545978,0.0,0.0708106243995041,0.060361422652600236,0.07333555424671459,0.07211646298828256,0.06415206146141972,0.06024422492340339,0.08306217287714679,0.05397733519511445,0.29197558390739475,0.06207113828460739,0.09143596487458269,0.3219875846912691,0.2540491203002096,0.07287848891336118,0.29197558390739475,0.02477976305084703,0.07766451852316672,0.2341137794884112,0.29197558390739475,0.026915875763275865,0.0397852649565793,0.027826648451309593,0.29197558390739475,0.05861838046354918,0.05732291320429526,0.029952451879126,0.07202582803036094,0.3496055142748621,0.06515428218479145,0.1117853043105708,0.1117853043105708,0.12978430457395973,0.1117853043105708,0.026915875763275865,0.06219934776758407,0.1117853043105708,0.02575167323092611,0.0643624394393833,0.1191935557545978,0.08593242365588323,0.02575167323092611,0.07185392691752951,0.06364213167372874,0.0262437685481068,0.1117853043105708,0.1117853043105708,0.29197558390739475,0.07046436897464532,0.1117853043105708,0.03695053286055565,0.07740605498938727,0.02575167323092611,0.0708106243995041,0.02477976305084703,0.0,0.0749058757552431,0.0749058757552431,0.06364213167372874,0.025811803157040927,0.06515428218479145,0.0,0.0667796091075993,0.07567684987560291,0.0674834574321007,0.07333555424671459,0.12978430457395973,0.06135570343580611,0.059153116785825785,0.040977274114865486,0.0664098653798219,0.02575167323092611
CO0201EN,0.16139641219543746,0.12800416281558386,0.06563985812017266,0.3013097771892592,0.1680663483024537,0.14310529850473988,0.09571192472195358,0.09016556367093234,0.07740605498938727,1.0,0.08665675575685794,0.1364872727365929,0.09571192472195358,0.08191587428550562,0.14310529850473988,0.08015458563094362,0.09025379116591525,0.18956132752511784,0.09268440634795014,0.36049803855178275,0.06955332290775579,0.07740605498938727,0.08536257844908492,0.12800416281558386,0.07740605498938727,0.1812411544320545,0.7001088614499967,0.12230892482733566,0.08108449273014279,0.8233485585434326,0.15337658516024233,0.14310529850473988,0.14861462654730628,0.12287982499028088,0.10148093469525168,0.07565767583781952,0.0772806993491769,0.14310529850473988,0.08345238238741773,0.08345238238741773,0.09025379116591525,0.08345238238741773,0.2724527670049961,0.4437797258882849,0.09267922378405268,0.02837504306719739,0.15337658516024233,0.28871165308340035,0.07468978948335922,0.08443096771528122,0.0658539456144144,0.08015458563094362,0.05074080392354441,0.1364872727365929,0.0,0.08108449273014279,0.5584213264463305,0.08397576303846807,0.08257979460689462,0.0734598431422473,0.0689850210933742,0.3997516896792247,0.061808872331471615,0.07740605498938727,0.07107700014893786,0.4400520741267687,0.08536257844908492,0.2819040594539098,0.08345238238741773,0.07740605498938727,0.02837504306719739,0.08893281398074857,0.2597829299069852,0.07740605498938727,0.25477928716894577,0.04555768367382383,0.03186399912708937,0.07740605498938727,0.06712328389781413,0.06563985812017266,0.03429823401839615,0.08247600948073572,0.09268440634795014,0.07460747543115002,0.12800416281558386,0.12800416281558386,0.14861462654730628,0.12800416281558386,0.25477928716894577,0.07122381146402676,0.12800416281558386,0.029487967075413388,0.07370074472685315,0.1364872727365929,0.4135652892861126,0.029487967075413388,0.3458099842614739,0.07287592796689685,0.24841727990275386,0.12800416281558386,0.12800416281558386,0.07740605498938727,0.08068799932653525,0.12800416281558386,0.042311662105999015,0.3725306020970235,0.029487967075413388,0.08108449273014279,0.02837504306719739,0.0,0.36049803855178275,0.36049803855178275,0.07287592796689685,0.2443283981072903,0.07460747543115002,0.0,0.07646862000054377,0.08665675575685794,0.07727458922952796,0.08397576303846807,0.14861462654730628,0.07025776331423308,0.06773560477203147,0.046922640680614414,0.07604523039112815,0.029487967075413388
